,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,,,,,,,,
237,1,2,female,8,0,2,26.25,S,Second,child,FALSE,,Southampton,yes,FALSE,,,,,,,,
238,0,2,male,19,0,0,10.5,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
239,0,2,male,33,0,0,12.275,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
242,0,2,male,29,0,0,10.5,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
247,1,2,female,24,0,2,14.5,S,Second,woman,FALSE,,Southampton,yes,FALSE,,,,,,,,
249,0,2,male,54,1,0,26,S,Second,man,TRUE,,Southampton,no,FALSE,,,,,,,,
259,1,2,female,50,0,1,26,S,Second,woman,FALSE,,Southampton,yes,FALSE,,,,,,,,
265,0,2,male,36,0,0,10.5,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
272,1,2,female,41,0,1,19.5,S,Second,woman,FALSE,,Southampton,yes,FALSE,,,,,,,,
277,0,2,male,,0,0,0,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
288,1,2,male,42,0,0,13,S,Second,man,TRUE,,Southampton,yes,TRUE,,,,,,,,
292,0,2,male,36,0,0,12.875,C,Second,man,TRUE,D,Cherbourg,no,TRUE,,,,,,,,
303,1,2,female,,0,0,12.35,Q,Second,woman,FALSE,E,Queenstown,yes,TRUE,,,,,,,,
308,0,2,male,30,1,0,24,C,Second,man,TRUE,,Cherbourg,no,FALSE,,,,,,,,
312,0,2,female,26,1,1,26,S,Second,woman,FALSE,,Southampton,no,FALSE,,,,,,,,
314,0,2,male,43,1,1,26.25,S,Second,man,TRUE,,Southampton,no,FALSE,,,,,,,,
316,1,2,female,24,1,0,26,S,Second,woman,FALSE,,Southampton,yes,FALSE,,,,,,,,
317,0,2,male,54,0,0,14,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
322,1,2,female,30,0,0,12.35,Q,Second,woman,FALSE,,Queenstown,yes,TRUE,,,,,,,,
323,1,2,female,22,1,1,29,S,Second,woman,FALSE,,Southampton,yes,FALSE,,,,,,,,
327,1,2,female,36,0,0,13,S,Second,woman,FALSE,D,Southampton,yes,TRUE,,,,,,,,
340,1,2,male,2,1,1,26,S,Second,child,FALSE,F,Southampton,yes,FALSE,,,,,,,,
342,0,2,male,28,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
343,0,2,male,25,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
344,0,2,male,36,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
345,1,2,female,24,0,0,13,S,Second,woman,FALSE,F,Southampton,yes,TRUE,,,,,,,,
346,1,2,female,40,0,0,13,S,Second,woman,FALSE,,Southampton,yes,TRUE,,,,,,,,
357,0,2,female,38,0,0,13,S,Second,woman,FALSE,,Southampton,no,TRUE,,,,,,,,
361,0,2,male,29,1,0,27.7208,C,Second,man,TRUE,,Cherbourg,no,FALSE,,,,,,,,
385,0,2,male,18,0,0,73.5,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
387,1,2,female,36,0,0,13,S,Second,woman,FALSE,,Southampton,yes,TRUE,,,,,,,,
389,1,2,female,17,0,0,12,C,Second,woman,FALSE,,Cherbourg,yes,TRUE,,,,,,,,
397,0,2,male,46,0,0,26,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
398,0,2,male,23,0,0,10.5,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
399,1,2,female,28,0,0,12.65,S,Second,woman,FALSE,,Southampton,yes,TRUE,,,,,,,,
405,0,2,male,34,1,0,21,S,Second,man,TRUE,,Southampton,no,FALSE,,,,,,,,
407,1,2,male,3,1,1,18.75,S,Second,child,FALSE,,Southampton,yes,FALSE,,,,,,,,
413,0,2,male,,0,0,0,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
416,1,2,female,34,1,1,32.5,S,Second,woman,FALSE,,Southampton,yes,FALSE,,,,,,,,
417,1,2,female,18,0,2,13,S,Second,woman,FALSE,,Southampton,yes,FALSE,,,,,,,,
418,0,2,male,30,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
426,1,2,female,28,1,0,26,S,Second,woman,FALSE,,Southampton,yes,FALSE,,,,,,,,
427,1,2,female,19,0,0,26,S,Second,woman,FALSE,,Southampton,yes,TRUE,,,,,,,,
432,1,2,female,42,1,0,26,S,Second,woman,FALSE,,Southampton,yes,FALSE,,,,,,,,
437,1,2,female,24,2,3,18.75,S,Second,woman,FALSE,,Southampton,yes,FALSE,,,,,,,,
439,0,2,male,31,0,0,10.5,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
440,1,2,female,45,1,1,26.25,S,Second,woman,FALSE,,Southampton,yes,FALSE,,,,,,,,
443,1,2,female,28,0,0,13,S,Second,woman,FALSE,,Southampton,yes,TRUE,,,,,,,,
446,1,2,female,13,0,1,19.5,S,Second,child,FALSE,,Southampton,yes,FALSE,,,,,,,,
450,0,2,male,36,1,2,27.75,S,Second,man,TRUE,,Southampton,no,FALSE,,,,,,,,
458,1,2,female,50,0,0,10.5,S,Second,woman,FALSE,,Southampton,yes,TRUE,,,,,,,,
463,0,2,male,48,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
466,0,2,male,,0,0,0,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
472,1,2,female,33,1,2,27.75,S,Second,woman,FALSE,,Southampton,yes,FALSE,,,,,,,,
473,1,2,female,23,0,0,13.7917,C,Second,woman,FALSE,D,Cherbourg,yes,TRUE,,,,,,,,
476,0,2,male,34,1,0,21,S,Second,man,TRUE,,Southampton,no,FALSE,,,,,,,,
481,0,2,male,,0,0,0,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
506,1,2,female,33,0,2,26,S,Second,woman,FALSE,,Southampton,yes,FALSE,,,,,,,,
516,1,2,female,34,0,0,10.5,S,Second,woman,FALSE,F,Southampton,yes,TRUE,,,,,,,,
518,1,2,female,36,1,0,26,S,Second,woman,FALSE,,Southampton,yes,FALSE,,,,,,,,
526,1,2,female,50,0,0,10.5,S,Second,woman,FALSE,,Southampton,yes,TRUE,,,,,,,,
529,0,2,male,23,2,1,11.5,S,Second,man,TRUE,,Southampton,no,FALSE,,,,,,,,
530,1,2,female,2,1,1,26,S,Second,child,FALSE,,Southampton,yes,FALSE,,,,,,,,
535,1,2,female,7,0,2,26.25,S,Second,child,FALSE,,Southampton,yes,FALSE,,,,,,,,
543,1,2,male,32,1,0,26,S,Second,man,TRUE,,Southampton,yes,FALSE,,,,,,,,
546,1,2,female,19,1,0,26,S,Second,woman,FALSE,,Southampton,yes,FALSE,,,,,,,,
547,1,2,male,,0,0,13.8625,C,Second,man,TRUE,,Cherbourg,yes,TRUE,,,,,,,,
549,1,2,male,8,1,1,36.75,S,Second,child,FALSE,,Southampton,yes,FALSE,,,,,,,,
551,0,2,male,27,0,0,26,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
562,0,2,male,28,0,0,13.5,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
570,1,2,male,62,0,0,10.5,S,Second,man,TRUE,,Southampton,yes,TRUE,,,,,,,,
576,1,2,female,34,0,0,13,S,Second,woman,FALSE,,Southampton,yes,TRUE,,,,,,,,
580,1,2,female,25,1,1,30,S,Second,woman,FALSE,,Southampton,yes,FALSE,,,,,,,,
582,0,2,male,54,0,0,26,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
586,0,2,male,47,0,0,15,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
594,0,2,male,37,1,0,26,S,Second,man,TRUE,,Southampton,no,FALSE,,,,,,,,
596,1,2,female,,0,0,33,S,Second,woman,FALSE,,Southampton,yes,TRUE,,,,,,,,
600,1,2,female,24,2,1,27,S,Second,woman,FALSE,,Southampton,yes,FALSE,,,,,,,,
608,1,2,female,22,1,2,41.5792,C,Second,woman,FALSE,,Cherbourg,yes,FALSE,,,,,,,,
615,1,2,female,24,1,2,65,S,Second,woman,FALSE,,Southampton,yes,FALSE,,,,,,,,
618,1,2,female,4,2,1,39,S,Second,child,FALSE,F,Southampton,yes,FALSE,,,,,,,,
619,0,2,male,26,0,0,10.5,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
626,0,2,male,57,0,0,12.35,Q,Second,man,TRUE,,Queenstown,no,TRUE,,,,,,,,
635,1,2,female,28,0,0,13,S,Second,woman,FALSE,,Southampton,yes,TRUE,,,,,,,,
637,0,2,male,31,1,1,26.25,S,Second,man,TRUE,,Southampton,no,FALSE,,,,,,,,
651,1,2,female,18,0,1,23,S,Second,woman,FALSE,,Southampton,yes,FALSE,,,,,,,,
655,0,2,male,24,2,0,73.5,S,Second,man,TRUE,,Southampton,no,FALSE,,,,,,,,
658,0,2,male,23,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
665,0,2,male,32,2,0,73.5,S,Second,man,TRUE,,Southampton,no,FALSE,,,,,,,,
666,0,2,male,25,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
670,1,2,female,40,1,1,39,S,Second,woman,FALSE,,Southampton,yes,FALSE,,,,,,,,
672,0,2,male,70,0,0,10.5,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
673,1,2,male,31,0,0,13,S,Second,man,TRUE,,Southampton,yes,TRUE,,,,,,,,
674,0,2,male,,0,0,0,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
684,0,2,male,60,1,1,39,S,Second,man,TRUE,,Southampton,no,FALSE,,,,,,,,
685,0,2,male,25,1,2,41.5792,C,Second,man,TRUE,,Cherbourg,no,FALSE,,,,,,,,
695,0,2,male,52,0,0,13.5,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
705,0,2,male,39,0,0,26,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
706,1,2,female,45,0,0,13.5,S,Second,woman,FALSE,,Southampton,yes,TRUE,,,,,,,,
714,0,2,male,52,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
717,1,2,female,27,0,0,10.5,S,Second,woman,FALSE,E,Southampton,yes,TRUE,,,,,,,,
720,1,2,female,6,0,1,33,S,Second,child,FALSE,,Southampton,yes,FALSE,,,,,,,,
722,0,2,male,34,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
723,0,2,male,50,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
726,1,2,female,30,3,0,21,S,Second,woman,FALSE,,Southampton,yes,FALSE,,,,,,,,
728,0,2,male,25,1,0,26,S,Second,man,TRUE,,Southampton,no,FALSE,,,,,,,,
732,0,2,male,,0,0,0,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
733,0,2,male,23,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
734,0,2,male,23,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
747,1,2,female,30,0,0,13,S,Second,woman,FALSE,,Southampton,yes,TRUE,,,,,,,,
750,1,2,female,4,1,1,23,S,Second,child,FALSE,,Southampton,yes,FALSE,,,,,,,,
754,1,2,female,48,1,2,65,S,Second,woman,FALSE,,Southampton,yes,FALSE,,,,,,,,
755,1,2,male,0.67,1,1,14.5,S,Second,child,FALSE,,Southampton,yes,FALSE,,,,,,,,
757,0,2,male,18,0,0,11.5,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
772,0,2,female,57,0,0,10.5,S,Second,woman,FALSE,E,Southampton,no,TRUE,,,,,,,,
774,1,2,female,54,1,3,23,S,Second,woman,FALSE,,Southampton,yes,FALSE,,,,,,,,
791,0,2,male,16,0,0,26,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
795,0,2,male,39,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
800,0,2,male,34,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
801,1,2,female,31,1,1,26.25,S,Second,woman,FALSE,,Southampton,yes,FALSE,,,,,,,,
808,0,2,male,39,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
812,0,2,male,35,0,0,10.5,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
817,0,2,male,31,1,1,37.0042,C,Second,man,TRUE,,Cherbourg,no,FALSE,,,,,,,,
827,1,2,male,1,0,2,37.0042,C,Second,child,FALSE,,Cherbourg,yes,FALSE,,,,,,,,
831,1,2,male,0.83,1,1,18.75,S,Second,child,FALSE,,Southampton,yes,FALSE,,,,,,,,
841,0,2,male,16,0,0,10.5,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
848,0,2,male,28,0,1,33,S,Second,man,TRUE,,Southampton,no,FALSE,,,,,,,,
854,0,2,female,44,1,0,26,S,Second,woman,FALSE,,Southampton,no,FALSE,,,,,,,,
861,0,2,male,21,1,0,11.5,S,Second,man,TRUE,,Southampton,no,FALSE,,,,,,,,
864,0,2,male,24,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
865,1,2,female,42,0,0,13,S,Second,woman,FALSE,,Southampton,yes,TRUE,,,,,,,,
866,1,2,female,27,1,0,13.8583,C,Second,woman,FALSE,,Cherbourg,yes,FALSE,,,,,,,,
874,1,2,female,28,1,0,24,C,Second,woman,FALSE,,Cherbourg,yes,FALSE,,,,,,,,
880,1,2,female,25,0,1,26,S,Second,woman,FALSE,,Southampton,yes,FALSE,,,,,,,,
883,0,2,male,28,0,0,10.5,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
886,0,2,male,27,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
0,0,3,male,22,1,0,7.25,S,Third,man,TRUE,,Southampton,no,FALSE,,,,,,,,
2,1,3,female,26,0,0,7.925,S,Third,woman,FALSE,,Southampton,yes,TRUE,,,,,,,,
4,0,3,male,35,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,,,,,,,,
5,0,3,male,,0,0,8.4583,Q,Third,man,TRUE,,Queenstown,no,TRUE,,,,,,,,
7,0,3,male,2,3,1,21.075,S,Third,child,FALSE,,Southampton,no,FALSE,,,,,,,,
8,1,3,female,27,0,2,11.1333,S,Third,woman,FALSE,,Southampton,yes,FALSE,,,,,,,,
10,1,3,female,4,1,1,16.7,S,Third,child,FALSE,G,Southampton,yes,FALSE,,,,,,,,
12,0,3,male,20,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,,,,,,,,
13,0,3,male,39,1,5,31.275,S,Third,man,TRUE,,Southampton,no,FALSE,,,,,,,,
14,0,3,female,14,0,0,7.8542,S,Third,child,FALSE,,Southampton,no,TRUE,,,,,,,,
16,0,3,male,2,4,1,29.125,Q,Third,child,FALSE,,Queenstown,no,FALSE,,,,,,,,
18,0,3,female,31,1,0,18,S,Third,woman,FALSE,,Southampton,no,FALSE,,,,,,,,
19,1,3,female,,0,0,7.225,C,Third,woman,FALSE,,Cherbourg,yes,TRUE,,,,,,,,
22,1,3,female,15,0,0,8.0292,Q,Third,child,FALSE,,Queenstown,yes,TRUE,,,,,,,,
24,0,3,female,8,3,1,21.075,S,Third,child,FALSE,,Southampton,no,FALSE,,,,,,,,
25,1,3,female,38,1,5,31.3875,S,Third,woman,FALSE,,Southampton,yes,FALSE,,,,,,,,
26,0,3,male,,0,0,7.225,C,Third,man,TRUE,,Cherbourg,no,TRUE,,,,,,,,
28,1,3,female,,0,0,7.8792,Q,Third,woman,FALSE,,Queenstown,yes,TRUE,,,,,,,,
29,0,3,male,,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE,,,,,,,,
32,1,3,female,,0,0,7.75,Q,Third,woman,FALSE,,Queenstown,yes,TRUE,,,,,,,,
36,1,3,male,,0,0,7.2292,C,Third,man,TRUE,,Cherbourg,yes,TRUE,,,,,,,,
37,0,3,male,21,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,,,,,,,,
38,0,3,female,18,2,0,18,S,Third,woman,FALSE,,Southampton,no,FALSE,,,,,,,,
39,1,3,female,14,1,0,11.2417,C,Third,child,FALSE,,Cherbourg,yes,FALSE,,,,,,,,
40,0,3,female,40,1,0,9.475,S,Third,woman,FALSE,,Southampton,no,FALSE,,,,,,,,
42,0,3,male,,0,0,7.8958,C,Third,man,TRUE,,Cherbourg,no,TRUE,,,,,,,,
44,1,3,female,19,0,0,7.8792,Q,Third,woman,FALSE,,Queenstown,yes,TRUE,,,,,,,,
45,0,3,male,,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,,,,,,,,
46,0,3,male,,1,0,15.5,Q,Third,man,TRUE,,Queenstown,no,FALSE,,,,,,,,
47,1,3,female,,0,0,7.75,Q,Third,woman,FALSE,,Queenstown,yes,TRUE,,,,,,,,
48,0,3,male,,2,0,21.6792,C,Third,man,TRUE,,Cherbourg,no,FALSE,,,,,,,,
49,0,3,female,18,1,0,17.8,S,Third,woman,FALSE,,Southampton,no,FALSE,,,,,,,,
50,0,3,male,7,4,1,39.6875,S,Third,child,FALSE,,Southampton,no,FALSE,,,,,,,,
51,0,3,male,21,0,0,7.8,S,Third,man,TRUE,,Southampton,no,TRUE,,,,,,,,
57,0,3,male,28.5,0,0,7.2292,C,Third,man,TRUE,,Cherbourg,no,TRUE,,,,,,,,
59,0,3,male,11,5,2,46.9,S,Third,child,FALSE,,Southampton,no,FALSE,,,,,,,,
60,0,3,male,22,0,0,7.2292,C,Third,man,TRUE,,Cherbourg,no,TRUE,,,,,,,,
63,0,3,male,4,3,2,27.9,S,Third,child,FALSE,,Southampton,no,FALSE,,,,,,,,
65,1,3,male,,1,1,15.2458,C,Third,man,TRUE,,Cherbourg,yes,FALSE,,,,,,,,
67,0,3,male,19,0,0,8.1583,S,Third,man,TRUE,,Southampton,no,TRUE,,,,,,,,
68,1,3,female,17,4,2,7.925,S,Third,woman,FALSE,,Southampton,yes,FALSE,,,,,,,,
69,0,3,male,26,2,0,8.6625,S,Third,man,TRUE,,Southampton,no,FALSE,,,,,,,,
71,0,3,female,16,5,2,46.9,S,Third,woman,FALSE,,Southampton,no,FALSE,,,,,,,,
73,0,3,male,26,1,0,14.4542,C,Third,man,TRUE,,Cherbourg,no,FALSE,,,,,,,,
74,1,3,male,32,0,0,56.4958,S,Third,man,TRUE,,Southampton,yes,TRUE,,,,,,,,
75,0,3,male,25,0,0,7.65,S,Third,man,TRUE,F,Southampton,no,TRUE,,,,,,,,
76,0,3,male,,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE,,,,,,,,
77,0,3,male,,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,,,,,,,,
79,1,3,female,30,0,0,12.475,S,Third,woman,FALSE,,Southampton,yes,TRUE,,,,,,,,
80,0,3,male,22,0,0,9,S,Third,man,TRUE,,Southampton,no,TRUE,,,,,,,,
81,1,3,male,29,0,0,9.5,S,Third,man,TRUE,,Southampton,yes,TRUE,,,,,,,,
82,1,3,female,,0,0,7.7875,Q,Third,woman,FALSE,,Queenstown,yes,TRUE,,,,,,,,
85,1,3,female,33,3,0,15.85,S,Third,woman,FALSE,,Southampton,yes,FALSE,,,,,,,,
86,0,3,male,16,1,3,34.375,S,Third,man,TRUE,,Southampton,no,FALSE,,,,,,,,
87,0,3,male,,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,,,,,,,,
89,0,3,male,24,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,,,,,,,,
90,0,3,male,29,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,,,,,,,,
91,0,3,male,20,0,0,7.8542,S,Third,man,TRUE,,Southampton,no,TRUE,,,,,,,,
93,0,3,male,26,1,2,20.575,S,Third,man,TRUE,,Southampton,no,FALSE,,,,,,,,
94,0,3,male,59,0,0,7.25,S,Third,man,TRUE,,Southampton,no,TRUE,,,,,,,,
95,0,3,male,,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,,,,,,,,
100,0,3,female,28,0,0,7.8958,S,Third,woman,FALSE,,Southampton,no,TRUE,,,,,,,,
101,0,3,male,,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE,,,,,,,,
103,0,3,male,33,0,0,8.6542,S,Third,man,TRUE,,Southampton,no,TRUE,,,,,,,,
104,0,3,male,37,2,0,7.925,S,Third,man,TRUE,,Southampton,no,FALSE,,,,,,,,
105,0,3,male,28,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE,,,,,,,,
106,1,3,female,21,0,0,7.65,S,Third,woman,FALSE,,Southampton,yes,TRUE,,,,,,,,
107,1,3,male,,0,0,7.775,S,Third,man,TRUE,,Southampton,yes,TRUE,,,,,,,,
108,0,3,male,38,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE,,,,,,,,
109,1,3,female,,1,0,24.15,Q,Third,woman,FALSE,,Queenstown,yes,FALSE,,,,,,,,
111,0,3,female,14.5,1,0,14.4542,C,Third,child,FALSE,,Cherbourg,no,FALSE,,,,,,,,
112,0,3,male,22,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,,,,,,,,
113,0,3,female,20,1,0,9.825,S,Third,woman,FALSE,,Southampton,no,FALSE,,,,,,,,
114,0,3,female,17,0,0,14.4583,C,Third,woman,FALSE,,Cherbourg,no,TRUE,,,,,,,,
115,0,3,male,21,0,0,7.925,S,Third,man,TRUE,,Southampton,no,TRUE,,,,,,,,
116,0,3,male,70.5,0,0,7.75,Q,Third,man,TRUE,,Queenstown,no,TRUE,,,,,,,,
119,0,3,female,2,4,2,31.275,S,Third,child,FALSE,,Southampton,no,FALSE,,,,,,,,
121,0,3,male,,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,,,,,,,,
125,1,3,male,12,1,0,11.2417,C,Third,child,FALSE,,Cherbourg,yes,FALSE,,,,,,,,
126,0,3,male,,0,0,7.75,Q,Third,man,TRUE,,Queenstown,no,TRUE,,,,,,,,
127,1,3,male,24,0,0,7.1417,S,Third,man,TRUE,,Southampton,yes,TRUE,,,,,,,,
128,1,3,female,,1,1,22.3583,C,Third,woman,FALSE,F,Cherbourg,yes,FALSE,,,,,,,,
129,0,3,male,45,0,0,6.975,S,Third,man,TRUE,,Southampton,no,TRUE,,,,,,,,
130,0,3,male,33,0,0,7.8958,C,Third,man,TRUE,,Cherbourg,no,TRUE,,,,,,,,
131,0,3,male,20,0,0,7.05,S,Third,man,TRUE,,Southampton,no,TRUE,,,,,,,,
132,0,3,female,47,1,0,14.5,S,Third,woman,FALSE,,Southampton,no,FALSE,,,,,,,,
138,0,3,male,16,0,0,9.2167,S,Third,man,TRUE,,Southampton,no,TRUE,,,,,,,,
140,0,3,female,,0,2,15.2458,C,Third,woman,FALSE,,Cherbourg,no,FALSE,,,,,,,,
141,1,3,female,22,0,0,7.75,S,Third,woman,FALSE,,Southampton,yes,TRUE,,,,,,,,
142,1,3,female,24,1,0,15.85,S,Third,woman,FALSE,,Southampton,yes,FALSE,,,,,,,,
143,0,3,male,19,0,0,6.75,Q,Third,man,TRUE,,Queenstown,no,TRUE,,,,,,,,
146,1,3,male,27,0,0,7.7958,S,Third,man,TRUE,,Southampton,yes,TRUE,,,,,,,,
147,0,3,female,9,2,2,34.375,S,Third,child,FALSE,,Southampton,no,FALSE,,,,,,,,
152,0,3,male,55.5,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,,,,,,,,
153,0,3,male,40.5,0,2,14.5,S,Third,man,TRUE,,Southampton,no,FALSE,,,,,,,,
154,0,3,male,,0,0,7.3125,S,Third,man,TRUE,,Southampton,no,TRUE,,,,,,,,
156,1,3,female,16,0,0,7.7333,Q,Third,woman,FALSE,,Queenstown,yes,TRUE,,,,,,,,
157,0,3,male,30,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,,,,,,,,
158,0,3,male,,0,0,8.6625,S,Third,man,TRUE,,Southampton,no,TRUE,,,,,,,,
159,0,3,male,,8,2,69.55,S,Third,man,TRUE,,Southampton,no,FALSE,,,,,,,,
160,0,3,male,44,0,1,16.1,S,Third,man,TRUE,,Southampton,no,FALSE,,,,,,,,
162,0,3,male,26,0,0,7.775,S,Third,man,TRUE,,Southampton,no,TRUE,,,,,,,,
163,0,3,male,17,0,0,8.6625,S,Third,man,TRUE,,Southampton,no,TRUE,,,,,,,,
164,0,3,male,1,4,1,39.6875,S,Third,child,FALSE,,Southampton,no,FALSE,,,,,,,,
165,1,3,male,9,0,2,20.525,S,Third,child,FALSE,,Southampton,yes,FALSE,,,,,,,,
167,0,3,female,45,1,4,27.9,S,Third,woman,FALSE,,Southampton,no,FALSE,,,,,,,,
169,0,3,male,28,0,0,56.4958,S,Third,man,TRUE,,Southampton,no,TRUE,,,,,,,,
171,0,3,male,4,4,1,29.125,Q,Third,child,FALSE,,Queenstown,no,FALSE,,,,,,,,
172,1,3,female,1,1,1,11.1333,S,Third,child,FALSE,,Southampton,yes,FALSE,,,,,,,,
173,0,3,male,21,0,0,7.925,S,Third,man,TRUE,,Southampton,no,TRUE,,,,,,,,
175,0,3,male,18,1,1,7.8542,S,Third,man,TRUE,,Southampton,no,FALSE,,,,,,,,
176,0,3,male,,3,1,25.4667,S,Third,man,TRUE,,Southampton,no,FALSE,,,,,,,,
179,0,3,male,36,0,0,0,S,Third,man,TRUE,,Southampton,no,TRUE,,,,,,,,
180,0,3,female,,8,2,69.55,S,Third,woman,FALSE,,Southampton,no,FALSE,,,,,,,,
182,0,3,male,9,4,2,31.3875,S,Third,child,FALSE,,Southampton,no,FALSE,,,,,,,,
184,1,3,female,4,0,2,22.025,S,Third,child,FALSE,,Southampton,yes,FALSE,,,,,,,,
186,1,3,female,,1,0,15.5,Q,Third,woman,FALSE,,Queenstown,yes,FALSE,,,,,,,,
188,0,3,male,40,1,1,15.5,Q,Third,man,TRUE,,Queenstown,no,FALSE,,,,,,,,
189,0,3,male,36,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE,,,,,,,,
192,1,3,female,19,1,0,7.8542,S,Third,woman,FALSE,,Southampton,yes,FALSE,,,,,,,,
196,0,3,male,,0,0,7.75,Q,Third,man,TRUE,,Queenstown,no,TRUE,,,,,,,,
197,0,3,male,42,0,1,8.4042,S,Third,man,TRUE,,Southampton,no,FALSE,,,,,,,,
198,1,3,female,,0,0,7.75,Q,Third,woman,FALSE,,Queenstown,yes,TRUE,,,,,,,,
200,0,3,male,28,0,0,9.5,S,Third,man,TRUE,,Southampton,no,TRUE,,,,,,,,
201,0,3,male,,8,2,69.55,S,Third,man,TRUE,,Southampton,no,FALSE,,,,,,,,
202,0,3,male,34,0,0,6.4958,S,Third,man,TRUE,,Southampton,no,TRUE,,,,,,,,
203,0,3,male,45.5,0,0,7.225,C,Third,man,TRUE,,Cherbourg,no,TRUE,,,,,,,,
204,1,3,male,18,0,0,8.05,S,Third,man,TRUE,,Southampton,yes,TRUE,,,,,,,,
205,0,3,female,2,0,1,10.4625,S,Third,child,FALSE,G,Southampton,no,FALSE,,,,,,,,
206,0,3,male,32,1,0,15.85,S,Third,man,TRUE,,Southampton,no,FALSE,,,,,,,,
207,1,3,male,26,0,0,18.7875,C,Third,man,TRUE,,Cherbourg,yes,TRUE,,,,,,,,
208,1,3,female,16,0,0,7.75,Q,Third,woman,FALSE,,Queenstown,yes,TRUE,,,,,,,,
210,0,3,male,24,0,0,7.05,S,Third,man,TRUE,,Southampton,no,TRUE,,,,,,,,
